,driver_x,qual_pos_x,season_mid_x,season_high_x,season_low_x,season_avg_x,seasonpassdif_x,seasongreenpass_x,seasongreenpassed_x,seasonqualitypass_x,seasonfastlap_x,seasontop15_x,seasonlapled_x,seasonDR_x,DFS_avg_x,last_year_flag_x,car_make_Chevrolet_x,car_make_Ford_x,car_make_Toyota_x,owner_23XI Racing_x,owner_JTG-Daugherty Racing_x,owner_Jack Roush_x,owner_Joe Gibbs_x,owner_Matt Kaulig_x,owner_Richard Childress_x,owner_Richard Petty Motorsports_x,owner_Rick Hendrick_x,owner_Roger Penske_x,owner_Stewart-Haas Racing_x,owner_Trackhouse Racing_x,owner_Wood Brothers_x,group_len_0.5_x,group_len_1.0_x,group_len_1.5_x,group_len_2.0_x,group_len_2.7_x,group_len_3.0_x,driver_y,qual_pos_y,season_mid_y,season_high_y,season_low_y,season_avg_y,seasonpassdif_y,seasongreenpass_y,seasongreenpassed_y,seasonqualitypass_y,seasonfastlap_y,seasontop15_y,seasonlapled_y,seasonDR_y,DFS_avg_y,last_year_flag_y,car_make_Chevrolet_y,car_make_Ford_y,car_make_Toyota_y,owner_23XI Racing_y,owner_JTG-Daugherty Racing_y,owner_Jack Roush_y,owner_Joe Gibbs_y,owner_Matt Kaulig_y,owner_Richard Childress_y,owner_Richard Petty Motorsports_y,owner_Rick Hendrick_y,owner_Roger Penske_y,owner_Stewart-Haas Racing_y,owner_Trackhouse Racing_y,owner_Wood Brothers_y,group_len_0.5_y,group_len_1.0_y,group_len_1.5_y,group_len_2.0_y,group_len_2.7_y,group_len_3.0_y
1,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chase Briscoe,4.0,24.0,5.0,31.5,22.5,-0.5,89.0,91.5,12.0,0.0,32.5,0.0,62.75,24.225,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chase Elliott,5.0,11.5,1.0,25.0,10.5,10.0,86.5,84.0,54.0,5.5,256.0,2.5,93.0,37.8,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Joey Logano,6.0,12.0,2.0,28.0,12.0,-10.0,83.5,102.0,46.5,2.5,273.0,0.0,84.85,28.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tyler Reddick,7.0,10.0,2.0,23.5,10.0,-3.0,87.0,93.5,49.0,7.5,247.0,0.0,88.85,38.3,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Denny Hamlin,8.0,7.5,1.0,21.0,7.5,0.5,77.0,80.0,49.0,8.0,266.0,4.0,105.8,46.875,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Ricky Stenhouse, Jr.",9.0,17.0,5.0,30.5,18.5,3.5,95.0,92.0,24.0,1.0,69.5,0.0,62.400000000000006,31.45,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Austin Dillon,10.0,16.0,4.0,29.5,14.0,6.5,98.0,89.5,51.0,2.0,196.5,0.0,80.30000000000001,37.225,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ryan Blaney,11.0,9.0,2.0,26.0,8.5,3.5,78.5,77.0,47.5,11.0,254.0,0.0,95.95,38.2,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Martin Truex, Jr.",12.0,10.5,1.5,24.5,9.5,4.0,91.0,84.0,55.5,5.5,260.0,0.5,100.19999999999999,42.45,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Alex Bowman,13.0,9.5,2.5,29.0,12.5,6.0,87.5,83.5,45.5,3.0,206.0,0.0,81.9,30.900000000000002,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,William Byron,14.0,6.5,1.0,25.5,6.5,6.5,80.5,74.0,46.5,19.0,261.5,4.5,105.2,42.175,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brad Keselowski,15.0,12.5,1.0,26.5,12.0,-4.5,80.5,94.5,48.5,9.5,241.0,3.0,88.1,40.400000000000006,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bubba Wallace,17.0,21.5,8.5,31.5,20.0,0.0,91.0,88.0,14.0,1.0,58.0,0.0,63.5,23.35,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ross Chastain,18.0,21.5,5.0,29.5,18.5,7.0,87.0,78.0,21.5,0.5,85.5,0.0,68.65,35.425,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
17,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Aric Almirola,20.0,20.0,6.0,30.0,21.0,-1.5,75.5,87.0,11.5,0.0,26.0,0.0,56.75,19.175,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
18,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Daniel Suarez,21.0,18.5,4.0,31.5,20.0,-1.5,94.5,98.5,25.5,0.5,72.0,0.0,67.0,36.275,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Erik Jones,23.0,24.0,6.5,31.0,21.5,-1.5,82.5,89.0,8.5,2.0,34.0,0.0,59.75,16.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Cole Custer,24.0,20.0,5.5,30.0,21.5,-8.0,82.5,83.5,13.5,0.0,22.5,0.0,61.4,17.95,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kevin Harvick,25.0,10.0,2.0,27.5,8.5,-0.5,92.5,89.5,53.5,8.0,258.5,0.0,101.5,42.724999999999994,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
22,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chris Buescher,27.0,15.5,3.5,28.0,15.5,-4.0,90.5,89.0,29.5,1.5,128.5,0.0,75.0,40.2,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Justin Haley,28.0,30.5,9.5,33.0,30.0,-6.5,35.5,43.5,0.0,0.0,1.0,0.0,39.85,11.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
24,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kurt Busch,31.0,11.5,1.0,28.0,12.5,10.0,72.5,61.5,44.5,5.0,204.0,0.0,83.55000000000001,44.2,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Kyle Busch,37.0,6.0,1.0,25.0,8.0,10.0,81.0,63.5,47.5,14.5,244.5,1.5,105.15,53.474999999999994,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Chase Briscoe,4.0,24.0,5.0,31.5,22.5,-0.5,89.0,91.5,12.0,0.0,32.5,0.0,62.75,24.225,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
30,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Chase Elliott,5.0,11.5,1.0,25.0,10.5,10.0,86.5,84.0,54.0,5.5,256.0,2.5,93.0,37.8,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Joey Logano,6.0,12.0,2.0,28.0,12.0,-10.0,83.5,102.0,46.5,2.5,273.0,0.0,84.85,28.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Tyler Reddick,7.0,10.0,2.0,23.5,10.0,-3.0,87.0,93.5,49.0,7.5,247.0,0.0,88.85,38.3,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Denny Hamlin,8.0,7.5,1.0,21.0,7.5,0.5,77.0,80.0,49.0,8.0,266.0,4.0,105.8,46.875,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Ricky Stenhouse, Jr.",9.0,17.0,5.0,30.5,18.5,3.5,95.0,92.0,24.0,1.0,69.5,0.0,62.400000000000006,31.45,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Austin Dillon,10.0,16.0,4.0,29.5,14.0,6.5,98.0,89.5,51.0,2.0,196.5,0.0,80.30000000000001,37.225,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ryan Blaney,11.0,9.0,2.0,26.0,8.5,3.5,78.5,77.0,47.5,11.0,254.0,0.0,95.95,38.2,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Martin Truex, Jr.",12.0,10.5,1.5,24.5,9.5,4.0,91.0,84.0,55.5,5.5,260.0,0.5,100.19999999999999,42.45,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Alex Bowman,13.0,9.5,2.5,29.0,12.5,6.0,87.5,83.5,45.5,3.0,206.0,0.0,81.9,30.900000000000002,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
39,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,William Byron,14.0,6.5,1.0,25.5,6.5,6.5,80.5,74.0,46.5,19.0,261.5,4.5,105.2,42.175,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Brad Keselowski,15.0,12.5,1.0,26.5,12.0,-4.5,80.5,94.5,48.5,9.5,241.0,3.0,88.1,40.400000000000006,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Bubba Wallace,17.0,21.5,8.5,31.5,20.0,0.0,91.0,88.0,14.0,1.0,58.0,0.0,63.5,23.35,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ross Chastain,18.0,21.5,5.0,29.5,18.5,7.0,87.0,78.0,21.5,0.5,85.5,0.0,68.65,35.425,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Aric Almirola,20.0,20.0,6.0,30.0,21.0,-1.5,75.5,87.0,11.5,0.0,26.0,0.0,56.75,19.175,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Daniel Suarez,21.0,18.5,4.0,31.5,20.0,-1.5,94.5,98.5,25.5,0.5,72.0,0.0,67.0,36.275,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Erik Jones,23.0,24.0,6.5,31.0,21.5,-1.5,82.5,89.0,8.5,2.0,34.0,0.0,59.75,16.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
46,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Cole Custer,24.0,20.0,5.5,30.0,21.5,-8.0,82.5,83.5,13.5,0.0,22.5,0.0,61.4,17.95,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
47,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Kevin Harvick,25.0,10.0,2.0,27.5,8.5,-0.5,92.5,89.5,53.5,8.0,258.5,0.0,101.5,42.724999999999994,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
48,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Chris Buescher,27.0,15.5,3.5,28.0,15.5,-4.0,90.5,89.0,29.5,1.5,128.5,0.0,75.0,40.2,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Justin Haley,28.0,30.5,9.5,33.0,30.0,-6.5,35.5,43.5,0.0,0.0,1.0,0.0,39.85,11.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Kurt Busch,31.0,11.5,1.0,28.0,12.5,10.0,72.5,61.5,44.5,5.0,204.0,0.0,83.55000000000001,44.2,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Kyle Busch,37.0,6.0,1.0,25.0,8.0,10.0,81.0,63.5,47.5,14.5,244.5,1.5,105.15,53.474999999999994,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Christopher Bell,1.0,14.5,2.5,28.0,13.5,1.5,98.0,96.0,46.0,4.0,197.0,0.0,82.69999999999999,29.525,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Kyle Larson,2.0,2.0,1.0,17.0,3.0,5.0,55.5,57.0,37.0,62.0,272.0,131.0,138.60000000000002,99.275,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Chase Briscoe,4.0,24.0,5.0,31.5,22.5,-0.5,89.0,91.5,12.0,0.0,32.5,0.0,62.75,24.225,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Chase Elliott,5.0,11.5,1.0,25.0,10.5,10.0,86.5,84.0,54.0,5.5,256.0,2.5,93.0,37.8,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Joey Logano,6.0,12.0,2.0,28.0,12.0,-10.0,83.5,102.0,46.5,2.5,273.0,0.0,84.85,28.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
58,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Tyler Reddick,7.0,10.0,2.0,23.5,10.0,-3.0,87.0,93.5,49.0,7.5,247.0,0.0,88.85,38.3,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,Austin Cindric,3.0,24.0,9.0,38.5,21.5,10.0,91.5,81.5,15.5,0.5,45.5,0.0,60.95,36.725,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Denny Hamlin,8.0,7.5,1.0,21.0,7.5,0.5,77.0,80.0,49.0,8.0,266.0,4.0,105.8,46.875,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
